Name,lat,lon,Category,Address,Working Hours,Phone
Araz Daşkəsən Supermarket,40.523411,46.082630,Supermarket,"Daşkəsən şəhəri, Nizami küç. 14",07:00 - 23:00,055-400-85-34
Araz Gəncə-2 Supermarket,40.675087,46.334614,Supermarket,"Gəncə şəhəri, Yeni Gəncə qəsəbəsi, Ə.Mehmandarov küçəsi",24\7,055-400-85-36
Araz Saatlı Supermarket,39.927883,48.358940,Supermarket,"Saatlı şəhəri, H.Əliyev pr. 240",07:00 - 00:00,055-400-85-35
Araz Məhəmmədi-2 Minimarket,40.497093,49.949776,Mini,"Abşeron rayonu, Zabrat dairəsi, Məhəmmədi kəndi istiqaməti",07:30 - 23:00,055-400-85-39
Araz 7-ci mkr-2 Supermarket,40.428905,49.852238,Supermarket,"Binəqədi rayonu, F.Məlikov küçəsi 18A",07:00 - 23:00,055-400-85-40
Araz N.Yusifbəyli Ekspress,40.398041,49.839874,Express,"Nəsimi rayonu, Nəsib bəy Yusifbəyli küçəsi 94",07:00 - 23:00,055-400-85-42
Araz Sahil Supermarket,40.224918,49.572365,Supermarket,"Qaradağ rayonu, Sahil qəsəbəsi, Məhərrəm Seyidov küçəsi 15",08:00 - 23:00,055-400-85-46
Araz Bakıxanov-4 Minimarket,40.428715,49.962269,Mini,"Sabunçu rayonu, Bakıxanov qəsəbəsi, N.İsmayılov küçəsi 15",07:00 - 23:00,055-400-85-48
Araz Biləcəri Minimarket,40.436199,49.803444,Mini,"Binəqədi rayonu, Biləcəri qəsəbəsi, M.Hüseyn küçəsi 17",24\7,055-400-85-50
Araz Neftçilər-2 Ekspress,40.406391,49.938370,Express,"Nizami rayonu, R.Rüstəmov küçəsi 12c",07:00 - 23:00,055-400-85-49
Araz Həzi Aslanov Minimarket,40.372826,49.954556,Mini,"Xətai rayonu, M.Hadi küçəsi 73A",N/A,055-400-85-53
