lat,lon,type,company,name
41.103200,45.338827,competitor,abb,Aviapetrol (Qazax)
40.981172,47.848992,competitor,abb,ABB Qəbələ filialı-1
40.9767587,47.8532103,competitor,abb,Qəbələ Mərkəzi Poçt
40.8605022,47.7572106,competitor,abb,Böyük Əmirli
40.9397161,47.6675996,competitor,abb,Nic kəndi
40.945222,47.944572,competitor,abb,Röya market (Vəndam)
40.97713211018328,47.84559539486955,competitor,abb,Qutqaşınlı küçəsi
40.84321652024895,47.727200647150994,competitor,abb,Ulduz market (Hacıalı)
40.9281958,47.801864,competitor,abb,Makromart market
40.928872,47.801910,competitor,abb,Araz market (Zarağan qəs.)
40.080623,49.413528,competitor,abb,Oba market (Qobustan)
40.53514055786753,48.913971206905494,competitor,abb,Ramil market (Qobustan)
41.362346,48.528652,competitor,abb,Quba Mega Store
41.357189,48.493482,competitor,abb,Quba Mərkəzi Xəstəxana
41.41895299584495,48.41726102389853,competitor,abb,Oba market (Qusar)
41.430196,48.441192,competitor,abb,Qusar Mərkəzi Xəstəxanası
39.88524638919933,48.53784214857403,competitor,abb,Nadir Ticarət mərkəzi
39.938093,48.364036,competitor,abb,ABB-nin Saatlı filialı
39.938093,48.364036,competitor,abb,ABB-nin Saatlı filialı
40.011417,48.470944,competitor,abb,SABIRABAD OBA
40.00424833500348,48.47037871300628,competitor,abb,Bazarstore (Sabirabad)
41.201596,48.981878,competitor,abb,OBA market (Şabran)
41.2000261,48.9846549,competitor,abb,Şabran Telekommunikasiya qovşağı
41.20963869417298,48.9966102775522,competitor,abb,Qayalı Market (Şabran DYV yanı)
41.2595909,48.9025509,competitor,abb,OBA market (Gəndob kəndi)
40.42174240141368,49.96990174653606,competitor,abb,A Plus Store
40.55756251609222,50.00794099965487,competitor,abb,Oba Market (Nardaran)
40.545716,49.916783,competitor,abb,Oba market (Kürdəxanı)
40.480817,49.986323,competitor,abb,Oba makret - Ramana
40.430535,49.957662,competitor,abb,Sərham market
40.525772,49.995601,competitor,abb,Xəyal Ticarət Mərkəzi
40.554935,50.022777,competitor,abb,Maştağa - Araz market
40.547473,49.911127,competitor,abb,İl komplex
40.444828,49.943353,competitor,abb,Araz market (Qırmızı küç.)
40.410986,49.968736,competitor,abb,Megastore market (Bakıxanov qəs.)
40.5651774,50.031049,competitor,abb,Bilgəh Qocalar Evi
40.442007,49.977136,competitor,abb,Yeni Ramanı Poçt 112
40.557957,49.887773,competitor,abb,Pirşağı 18 saylı mağaza
40.491417,49.954422,competitor,abb,Avromart Zabrat
40.420949,49.969015,competitor,abb,4 saylı ASAN Xidmət Mərkəzi
40.529252,50.011019,competitor,abb,Tac market (Maştağa)
40.459132,49.922743,competitor,abb,Balaxanı Poçt №6
40.52841304745526,49.99775520877097,competitor,abb,Bakı Ticarət Mərkəzi
40.45691,49.98757,competitor,abb,Oba market (Ramana)
40.506841,49.975514,competitor,abb,Araz market (Maştağa)
40.529156,49.874017,competitor,abb,Poçt Pirşağı
40.491643,49.944678,competitor,abb,İstilik kombinatl (Zabrat 2)
40.5436976893416,49.986414848985625,competitor,abb,Neptun supermarket (Nardaran)
40.500197,49.962166,competitor,abb,ABB - Maştağa DYP
40.532793,50.004612,competitor,abb,OBA market (parkın yanı)
40.47518200469756,49.94492408373571,competitor,abb,Oba market (Zabrat 1)
40.468433,50.014513,competitor,abb,Pətək supermarket (Şuşa şəhərciyi)
40.42310738251768,49.95607702855947,competitor,abb,Uluxanlı Ticarət Mərkəzi
40.436554,49.959343,competitor,abb,Sərham market
40.465812,49.945362,competitor,abb,Rahat market (Zabrat)
40.44219166561668,49.94242759789886,competitor,abb,Sabunçu Ticarət Mərkəzi
39.406574,45.571739,competitor,abb,Şahbuz Rabitə idarəsi
39.454915,45.682375,competitor,abb,Kolanı (icra nümayəndəliyi)
39.5941935,48.9035331,competitor,abb,Salyan Hacıoğlu
39.769696655130055,48.97645606869309,competitor,abb,İlkin-N MMC market
39.584365,48.971827,competitor,abb,Salyan Perla Mebel
39.589979,48.979980,competitor,abb,Salyan - Öz geyim
40.63758470739361,48.643366305560974,competitor,abb,Oba market (Şamaxı)
40.639797,48.639261,competitor,abb,Favorit market (Şamaxı)
40.638080,48.636420,competitor,abb,Şamaxı Universam
40.492518,48.680252,competitor,abb,OBA market (Şamaxı)
40.59005567252837,48.78277059720461,competitor,abb,Təklə kəndi (market)
40.706744204493546,48.63381503841992,competitor,abb,Çuxuryurd
40.601502,48.685747,competitor,abb,Şamaxı - Qayalı market
40.62618985492619,48.64697936760638,competitor,abb,VİP market
40.58859686756416,48.710497177489636,competitor,abb,ETM market
40.7883727,46.3221531,competitor,abb,Qarayeri qəsəbəsi
40.76619506836712,46.40602189588147,competitor,abb,ABB-nin Samux filialı - 1
40.926711261387624,46.30477480589314,competitor,abb,Yenikənd qəsəbəsi
40.371540,49.8366995,competitor,abb,Kitab evi-1
40.339497,49.805836,competitor,abb,Bizim Market (Badamdar)
40.351064,49.810626,competitor,abb,Araz market (Badamdar)
40.328854,49.818527,competitor,abb,Araz market (20-ci sahə)
40.30629905393148,49.82161226889155,competitor,abb,Ay market (Bibiheybət)
40.371540,49.8366995,competitor,abb,Kitab evi-2
40.318558,49.821734,competitor,abb,Bibiheybət məscidi
40.3532548,49.810131,competitor,abb,Xüsusi Müalicə Sağlamlıq Kompleksi
40.367878,49.835853,competitor,abb,İçərişəhər
40.370140,49.834495,competitor,abb,İnvestisiya Xoldinqi
39.705024,44.882971,competitor,abb,Sədərək Qaz İdarəsi
39.715318,44.880348,competitor,abb,Məişət evi (Sədərək kənd)
40.8576279,47.2439433,competitor,abb,Şəki Turan
41.20065640081308,47.192696888477144,competitor,abb,Karvansaray
41.1575006,47.1797249,competitor,abb,24 saat market
41.2035946,47.1789536,competitor,abb,Rəsulzadə prospekti (market)
41.2021738,47.1778313,competitor,abb,Ekonom Market (Şəki)
41.204403,47.167895,competitor,abb,Rahat market
41.2011884,47.168241,competitor,abb,Bazarstore (Şəki)
40.8756585,47.3442316,competitor,abb,Oba market (Sarıca kəndi)
41.1649494,47.1826243,competitor,abb,Dağdibi (market)
40.9760921,47.1216961,competitor,abb,"""Zirvə"" şadlıq evi"
41.2710919,47.0121229,competitor,abb,"""Ulduz"" market"
41.170646079723674,47.167501608026996,competitor,abb,Oba market (Rəsulzadə pr.)
41.1808773,47.2397094,competitor,abb,Orta zəhzid (market)
41.3271077,47.1143002,competitor,abb,Baş Göynük (mağaza)
40.9903792,47.0829386,competitor,abb,Muradoğlu market
41.2266250886393,47.18036562362362,competitor,abb,Dodu məh. (Ticarət Mərkəzi)
41.2117144,47.1336442,competitor,abb,Qoxmuq ərzaq mağazası
40.91224174293924,45.849760757744306,competitor,abb,Oba market (Düyərli kəndi)
40.83009862611042,46.02020803764185,competitor,abb,ABB-nin Şəmkir filialı - 1
40.82791863759396,46.03316042503847,competitor,abb,Oba market (N.Nərimanov küç.)
40.8270830,46.0275570,competitor,abb,20 Yanvar küçəsi (Aptek)
40.78054386242497,46.10962366307333,competitor,abb,Göysu market
40.80845508143643,46.011625364971025,competitor,abb,Zümrüd market (S.Vurğun küç.)
