"business_id","phone_number","name","full_address","latitude","longitude","review_count","rating","timezone","website","place_id","place_link","types","price_level","Sunday","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","city","verified","photos","state","description"
"0x403087ad9a234cc9:0x260ee69f01d038bc","","Avtovazal metro stansiyas","CQCW+H2C Avtovazal metro stansiyas, Baku, Azerbaijan","40.4214316","49.795027999999995","342","4.4","Asia/Baku","http://metro.gov.az/","ChIJyUwjmq2HMEARvDjQAZ_mDiY","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x403087ad9a234cc9:0x260ee69f01d038bc","Transportation service","","6AM12AM","6AM12AM","6AM12AM","6AM12AM","6AM12AM","6AM12AM","6AM12AM","Baku, Azerbaijan","false","https://lh5.googleusercontent.com/p/AF1QipOyTNFAcAtkq-VbfO67rD33NKV7tXyqcUKniEsc=w203-h125-k-no","Closes soon  12AM  Opens 6AM Mon",""
"0x40306369e9786e6f:0x7e0fd1f89f4d6e68","","hmdli metro stansiyas hmdli qsbsi","hmdli metro stansiyas hmdli qsbsi, Bak, Azerbaijan","40.385743","49.9532379","","","Asia/Baku","","ChIJb2546WljMEARaG5Nn_jRD34","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40306369e9786e6f:0x7e0fd1f89f4d6e68","Bus stop","","","","","","","","","Baku, Azerbaijan","true","","",""
"0x40307d092677e165:0x6c1e5da0b5397d38","","Baku","Baku, Khatai Ave, Baku, Azerbaijan","40.3807723","49.8501694","171","4.3","Asia/Baku","http://www.addy.gov.az/index/az/","ChIJZeF3Jgl9MEAROH05taBdHmw","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40307d092677e165:0x6c1e5da0b5397d38","Train station","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipObmFVm4TMirnhJe__CyzYpgsLLV6JtzwmOG3w9=w203-h129-k-no","",""
"0x40306369eaa93fa7:0x874f1a33aab8435e","","hmdli metro stansiyas","hmdli metro stansiyas, Bak, Azerbaijan","40.385805999999995","49.953731","1","5","Asia/Baku","","ChIJpz-p6mljMEARXkO4qjMaT4c","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40306369eaa93fa7:0x874f1a33aab8435e","Bus stop","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipOxrI3paS0RXDy0uLg3xvHD_Y8B7jnhrmrUwtfg=w203-h152-k-no","",""
"0x40307d847a2790ab:0x978b857bfef04def","","Yeni metro","9RRH+X8V Yeni metro, Jalil Mammadguluzadeh, Baku, Azerbaijan","40.39257","49.8286643","9","2.7","Asia/Baku","","ChIJq5AneoR9MEAR703w_nuFi5c","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40307d847a2790ab:0x978b857bfef04def","Transportation service","","6AM12AM","6AM12AM","6AM12AM","6AM12AM","6AM12AM","6AM12AM","6AM12AM","Baku, Azerbaijan","false","","Closes soon  12AM  Opens 6AM Mon",""
"0x40307d0a3cac63f5:0x699a37e05f82385a","","Baku Metropolitan CJSC","Baku Metropolitan CJSC, Baku, Azerbaijan","40.382658","49.846931","5","3.6","Asia/Baku","","ChIJ9WOsPAp9MEARWjiCX-A3mmk","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40307d0a3cac63f5:0x699a37e05f82385a","Bus stop","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipO4Fa3wiQ1bzBHaYDsaOjt6-MNzjxvM-uCjMi0x=w203-h130-k-no","",""
"0x40306215f6e9539b:0xc1135f70cb1ee999","","Bakxanov Dmiryol Stansiyas","Bakxanov Dmiryol Stansiyas, Azerbaijan","40.4321688","49.9552747","","","Asia/Baku","","ChIJm1Pp9hViMEARmekey3BfE8E","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40306215f6e9539b:0xc1135f70cb1ee999","Transport interchange","","","","","","","","","Azerbaijan","true","","",""
"0x4030877607561b57:0x84e994cced5bede5","","20 Yanvar metro stansiyas (Azrsu ASC)","20 Yanvar metro stansiyas (Azrsu ASC), Bak, Azerbaijan","40.404475999999995","49.8063059","","","Asia/Baku","","ChIJVxtWB3aHMEAR5e1b7cyU6YQ","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4030877607561b57:0x84e994cced5bede5","Bus stop","","","","","","","","","Baku, Azerbaijan","true","","",""
"0x40307d4f1fef413b:0x7f300770d9c7b22d","","Baku Electronics","Baku Electronics, Baku, Azerbaijan","40.403058","49.8706129","8","4.3","Asia/Baku","","ChIJO0HvH099MEARLbLH2XAHMH8","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40307d4f1fef413b:0x7f300770d9c7b22d","Bus stop","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipPK44_ypaG0H37jdFAepQM8aoRY44WiZXhE_Y-6=w203-h152-k-no","",""
"0x40307dcbd01ae8eb:0xdfde1f2154d1be0e","","ri hr metro stansiyas","ri hr metro stansiyas, Bak, Azerbaijan","40.364993","49.831126999999995","2","4","Asia/Baku","","ChIJ6-ga0Mt9MEARDr7RVCEf3t8","https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x40307dcbd01ae8eb:0xdfde1f2154d1be0e","Bus stop","","","","","","","","","Baku, Azerbaijan","true","https://lh5.googleusercontent.com/p/AF1QipPKfV6CZR_n4DfoPdh4Vqq7v8BoS-JzgvE148U=w203-h270-k-no","",""
